,,,,,,,,,% of,PDF_Year
,,,Wolf Management Unit,,,,,State,,2021
,,,,,,,,,Total,2021
,Cause of Death,,,,,,,,,2021
,,1,2,3,4,5,6,Total,,2021
,Human Caused,,,,,,,,,2021
,Mortality,,,,,,,,,2021
,Agency Control,6,,3,,1,,10,3.8%,2021
,Legally Harvested,53ᵇ,43ᵇ,42ᵇ,4,31,45ᵇ,218,82.8%,2021
,Vehicle Collision,3b,6,1,,3,9,22,8.3%,2021
,Illegally Killed,4c,,1,,1a,2,8,3.0%,2021
,Capture Related,,,,,,,0,0.0%,2021
,Unknown Human,,,,,,,,,2021
,,,,,,2 a,,2,0.7%,2021
,Caused,,,,,,,,,2021
,Total Human Caused,66,49,47,4,38,56,260,98.6%,2021
,Natural Mortality,,,,,,,,,2021
,Disease / Injury,,,,,1a,,1,0.4%,2021
,Intra-specific,,,,,,,,,2021
,,,,,,,,0,,2021
,Aggression,,,,,,,,,2021
,Euthanized (non-,,,,,,,,,2021
,,,,,,,,0,,2021
,control),,,,,,,,,2021
,Total Natural Causes,0,0,0,0,1,0,1,0.4%,2021
,Unknown Causes,0,1,0,0,0,1,2,0.7%,2021
,Total Detected,,,,,,,,,2021
,,66,50,47,4,39,57,263,100.0%,2021
,Mortality,,,,,,,,,2021
a,Includes 1 radio collared wolf,,,,,,,,,2021
bIncludes 2 radio collared wolves,,,,,,,,,,2021
cIncludes 3 radio collared wolves,,,,,,,,,,2021
dIncludes 4 radio collared wolves,,,,,,,,,,2021
,,,,,,,,,,2021
