0,1,2,3,4,5,6,7
"Wolf Harvest Zone 
 State",,,,,,,
,1,2,3,4,5,6,Total
Livestock Cases,,,,,,,
Confirmed Depredation Incidents,39,2,8,,6,3,58
Confirmed Threat Incidents,7,1,3,,3,,14
Chronic Farms Affected,12,,4,,1,,17
Total Farms Affected,15,3,8,,7,2,35
Cattle Killed,15,2,2,,8,1,28
Cattle Injured,1,1,,,,,2
Deer Killed,,,,,,,0
Deer Injured,,,,,,,0
Sheep Killed,2,,,,,12,14
Sheep Injured,,,,,,,0
Goats Killed,,,1,,,,1
Alpacas Killed,,,,,,,0
Alpacas Injured,,,,,,,0
Horses Killed,3,,,,,,3
Horses Injured,6,,,,,1,7
Poultry Killed,40,,,,,,40
Non-Livestock Cases,,,,,,,
Confirmed Depredation Incidents,16,9,6,3,2,1,37
Confirmed Threat Incidents,3,0,1,2,0,0,6
"Dogs Killed While Actively Engaged 
in Hunting Activities",7,4,1,,1,1,14
"Dogs Injured While Actively 
Engaged in Hunting Activities",7,3,,,2,,12
"Dogs Killed While Not Engaged in 
Hunting Activities",2,1,,,1,,4
"Dogs Injured While Not Engaged in 
Hunting Activities",,,,1,,,1
