,Pack-,,,,,,
,Associated,,,,,,
,,Lower,Upper,,Lower,Upper,# of
Wolf,Wolf,,,Average,,,
,,95%,95%,,95%,95%,Telemetry
Harvest,Abundance,,,Pack,,,
,,Credible,Credible,,Credible,Credible,Monitored
Zone,Estimate,,,Size,,,
,,Limit,Limit,,Limit,Limit,Wolvesb
,(mode,,,,,,
,value),,,,,,
WHZ 1,363,304,450,4.13,3.80,4.46,9
WHZ 2,232,188,288,3.31,2.98,3.63,4
WHZ 3,130,98,168,3.22,2.63,3.79,6
WHZ 4,66,50,88,2.77,2.26,3.27,2
WHZ 5,92,68,121,2.85,2.25,3.43,6
WHZ 6,90,66,124,2.70,2.35,3.04,1
Statewide,972,812,"1,193",-,-,-,28
Ceded,,,,,,,
,801,668,976,-,-,-,-
Territory,,,,,,,
Non-Ceded,,,,,,,
,179,141,227,-,-,-,-
Territory,,,,,,,
Off-,,,,,,,
,940,788,"1,151",-,-,-,-
Reservation,,,,,,,
On-,,,,,,,
,37,29,48,-,-,-,-
Reservationa,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
