T,
# of Wolf Hunting related complaints received:,0
# of Wolf Trapping related complaints received:,0
# of Wolf related Investigations conducted:,8
# of Hunting related citations issued:,1
# of Trapping related citations issued:,0
# of Verbal Warnings Issued:,0
# of incidentally trapped wolves recovered:,0
# of Illegally harvested wolves recovered:,3
# of shot & unrecovered wolves:,1
# of Unknown cause of death wolves found:,3
# of Other dead/injured wolves recovered:,1
Total Wolves Recovered,8
# of wolf hunting related complaints received:,0
# of wolf trapping related complaints received:,0
# of wolf related investigations conducted:,4
# of car killed wolves,3
# of hunting related citations issued:,2
# of trapping related citations issued:,0
# of verbal warnings issued:,0
# of incidentally trapped wolves recovered:,0
# of Illegally harvested wolves recovered:,2
# of shot & unrecovered wolves:,0
# of unknown cause of death wolves found:,0
# of other dead/injured wolves recovered:,0
Total Wolves Recovered,2
