,Total Area (km2) as estimated,Total Area (mi2) as estimated
Wolf Occupancy Probability,,
,by Occupancy Model,by Occupancy Model
0.0 – 0.2,"12,070","4,660"
0.2 – 0.4,"6,504","2,511"
0.4 – 0.6,"9,498","3,667"
0.6 – 0.8,"13,250","5,116"
0.8 – 0.95,"9,724","3,754"
>0.95,"22,750","8,783"
Total Pack-Occupied Range,"73,796","28,493"
Wolf Occupancy Probability,,
,by Occupancy Model,by Occupancy Model
0.0 – 0.2,"12,984","5,013"
0.2 – 0.4,"7,498","2,894"
0.4 – 0.6,"9,356","3,612"
0.6 – 0.8,"7,950","3,069"
0.8 – 0.95,"2,040",787
>0.95,"34,834","13,449"
Total Pack-Occupied Range,"74,662 km2","28,824 mi2"
